loan_id,doc_type,doc_status,received_at
LN-0001,promissory_note,received,2025-08-07
LN-0001,appraisal,received,2026-02-26
LN-0001,income_verification,received,2025-12-09
LN-0001,title,received,2026-01-01
LN-0002,promissory_note,received,2026-05-31
LN-0002,appraisal,received,2026-04-04
LN-0002,income_verification,received,2025-11-01
LN-0002,title,received,2026-07-16
LN-0003,promissory_note,missing,
LN-0003,appraisal,received,2026-06-14
LN-0003,income_verification,received,2026-06-22
LN-0003,title,received,2025-12-25
LN-0004,promissory_note,received,2026-01-10
LN-0004,appraisal,received,2025-08-23
LN-0004,income_verification,received,2026-07-16
LN-0004,title,received,2025-08-26
LN-0005,promissory_note,received,2026-05-27
LN-0005,appraisal,received,2026-07-24
LN-0005,income_verification,received,2025-08-05
LN-0005,title,received,2025-12-27
LN-0006,promissory_note,received,2026-05-29
LN-0006,appraisal,received,2026-06-13
LN-0006,income_verification,received,2026-05-07
LN-0006,title,received,2026-02-11
LN-0007,promissory_note,missing,
LN-0007,appraisal,received,2026-02-27
LN-0007,income_verification,received,2026-06-04
LN-0007,title,received,2026-03-04
LN-0008,promissory_note,received,2025-08-25
LN-0008,appraisal,received,2025-11-05
LN-0008,income_verification,received,2025-11-21
LN-0008,title,received,2026-02-09
LN-0009,promissory_note,received,2025-12-19
LN-0009,appraisal,received,2025-12-16
LN-0009,income_verification,received,2026-07-03
LN-0009,title,received,2026-03-28
LN-0010,promissory_note,received,2026-01-03
LN-0010,appraisal,received,2025-12-31
LN-0010,income_verification,received,2026-04-21
LN-0010,title,received,2025-12-03
LN-0011,promissory_note,received,2026-03-03
LN-0011,appraisal,received,2025-09-28
LN-0011,income_verification,received,2025-08-24
LN-0011,title,received,2026-03-26
LN-0012,promissory_note,received,2025-09-11
LN-0012,appraisal,received,2025-09-13
LN-0012,income_verification,missing,
LN-0012,title,received,2025-12-18
LN-0013,promissory_note,received,2026-06-11
LN-0013,appraisal,received,2026-01-22
LN-0013,income_verification,received,2026-05-06
LN-0013,title,received,2026-07-07
LN-0014,promissory_note,received,2026-04-10
LN-0014,appraisal,received,2025-08-02
LN-0014,income_verification,received,2026-06-02
LN-0014,title,received,2025-10-18
LN-0015,promissory_note,received,2025-09-14
LN-0015,appraisal,received,2025-09-18
LN-0015,income_verification,missing,
LN-0015,title,received,2025-10-29
LN-0016,promissory_note,received,2025-11-13
LN-0016,appraisal,received,2026-07-17
LN-0016,income_verification,received,2025-07-28
LN-0016,title,received,2026-06-25
LN-0017,promissory_note,received,2025-09-15
LN-0017,appraisal,received,2025-09-27
LN-0017,income_verification,received,2026-05-31
LN-0017,title,received,2026-05-24
LN-0018,promissory_note,received,2026-04-15
LN-0018,appraisal,received,2026-06-25
LN-0018,income_verification,received,2026-06-06
LN-0018,title,received,2025-08-09
LN-0019,promissory_note,received,2026-07-18
LN-0019,appraisal,received,2026-01-08
LN-0019,income_verification,missing,
LN-0019,title,received,2025-10-06
LN-0020,promissory_note,received,2025-10-10
LN-0020,appraisal,received,2026-04-24
LN-0020,income_verification,received,2026-03-22
LN-0020,title,received,2025-11-07
LN-9101,promissory_note,received,2026-08-10
LN-9102,appraisal,pending,
