loan_id,current_balance,payment_status,days_past_due,last_updated_at
LN-0001,201853.75,current,0,2026-08-24
LN-0002,328985.27,delinquent,62,2026-08-25
LN-0003,121324.87,current,0,2026-08-20
LN-0004,152522.1,current,0,2026-08-25
LN-0005,155391.38,current,0,2026-08-22
LN-0006,149926.84,current,0,2026-08-24
LN-0007,72212.16,current,0,2026-08-09
LN-0008,267676.56,current,0,2026-08-24
LN-0009,125927.79,current,0,2026-08-10
LN-0010,222973.92,current,0,2026-08-14
LN-0011,90788,current,0,2026-08-12
LN-0012,110210.55,current,0,2026-08-11
LN-0013,187698.33,delinquent,60,2026-08-24
LN-0014,204506.56,current,0,2026-08-23
LN-0015,134998.62,current,0,2026-08-14
LN-0054,45000,current,0,2026-08-27
LN-0056,64580.32,delinquent,90,2026-08-26
LN-0057,0,paid_off,0,2026-08-24
LN-9001,87500,current,0,2026-08-20
LN-9002,132000,delinquent,45,2026-08-22
